,instance,score,cpu,type,provider,price,value,type,filter
41,n1-standard-2,0.495377987347,[2],['General'],['google'],0.095,5.214505129968421,vod,house
42,m5.large,0.610407620133,[2],['General'],['aws'],0.096,6.35841270971875,vod,house
43,r5.xlarge,0.68115335106,[4],['Memory'],['aws'],0.252,2.702989488333333,vod,house
44,c5.2xlarge,0.735886658374,[8],['CPU'],['aws'],0.34,2.1643725246294117,vod,house
45,r5.xlarge,0.653695849027,[4],['Memory'],['aws'],0.252,2.5940311469325397,vod,house
46,n1-standard-2,0.4922734061049999,[2],['General'],['google'],0.095,5.181825327421052,vod,house
47,m5.large,0.613838490582,[2],['General'],['aws'],0.096,6.3941509435625,vod,house
48,c5.2xlarge,0.741416700981,[8],['CPU'],['aws'],0.34,2.1806373558264704,vod,house
49,r5.xlarge,0.668804423736,[4],['Memory'],['aws'],0.252,2.6539858084761905,vod,house
50,m5.large,0.603839870428,[2],['General'],['aws'],0.096,6.2899986502916665,vod,house
51,n1-standard-2,0.49768853799999996,[2],['General'],['google'],0.095,5.2388267157894735,vod,house
52,c5.2xlarge,0.7266948811590002,[8],['CPU'],['aws'],0.34,2.137337885761765,vod,house
53,r5.xlarge,0.656442538618,[4],['Memory'],['aws'],0.252,2.604930708801587,vod,house
54,r5.xlarge,0.650233314562,[4],['Memory'],['aws'],0.252,2.580290930801587,vod,house
55,m5.large,0.607938458015,[2],['General'],['aws'],0.096,6.332692270989583,vod,house
56,c5.2xlarge,0.730966432462,[8],['CPU'],['aws'],0.34,2.1499012719470585,vod,house
57,n1-highcpu-2,0.47293767021099997,[2],['CPU'],['google'],0.0709,6.670489001565585,vod,house
58,n1-highmem-8,0.52849123222,[8],['Memory'],['google'],0.4736,1.1159020950591216,vod,house
59,r5.large,0.654712020351,[2],['Memory'],['aws'],0.126,5.196127145642857,vod,house
60,n1-highcpu-4,0.517655334216,[4],['CPU'],['google'],0.1418,3.650601792778561,vod,house
61,n1-standard-8,0.49036902382499997,[8],['General'],['google'],0.38,1.2904447995394737,vod,house
62,n1-highmem-4,0.502078243102,[4],['Memory'],['google'],0.2368,2.1202628509375,vod,house
63,n1-highcpu-8,0.534740206049,[8],['CPU'],['google'],0.2836,1.8855437448836387,vod,house
64,m5.large,0.6089074033750002,[2],['General'],['aws'],0.096,6.342785451822918,vod,house
